caminho,classe,origem_dataset,origem_pasta,categoria_original,imagem_original,split_roboflow_original,bbox_w,bbox_h,crop_w,crop_h
dataset\_work\crops\lettuce_disease_v1\saudavel\th-3-_jpg.rf.3aee426179021ac9da1160b24ce5e578__ann0.jpg,saudavel,lettuce_disease_v1,Lettuce Disease.v1i.coco,healthy,th-3-_jpg.rf.3aee426179021ac9da1160b24ce5e578.jpg,test,628,478,640,555
dataset\_work\crops\lettuce_disease_v1\anomala\15_jpg.rf.03ba69374c3a77b35b3f44b547de0eec__ann1.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Powdery_mildew_on_lettuce,15_jpg.rf.03ba69374c3a77b35b3f44b547de0eec.jpg,test,385,462,446,523
dataset\_work\crops\lettuce_disease_v1\anomala\s18_jpg.rf.166179d421ebd23ecac8a5d70bc079b2__ann2.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Septoria_Blight_on_lettuce,s18_jpg.rf.166179d421ebd23ecac8a5d70bc079b2.jpg,test,514,609,575,640
dataset\_work\crops\lettuce_disease_v1\anomala\-_jpg.rf.2ed3efccfe4db2097c190c5e09ca30f1__ann3.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Powdery_mildew_on_lettuce,-_jpg.rf.2ed3efccfe4db2097c190c5e09ca30f1.jpg,test,310,590,359,640
dataset\_work\crops\lettuce_disease_v1\anomala\-4-_jpg.rf.23d97bdfc9fd002302a6e1173a8fa443__ann4.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Wilt_and_leaf_blight_on_lettuce,-4-_jpg.rf.23d97bdfc9fd002302a6e1173a8fa443.jpg,test,444,362,515,419
dataset\_work\crops\lettuce_disease_v1\anomala\images-2-_jpg.rf.6b1c298a78bd454334e2c843211dc61d__ann5.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Wilt_and_leaf_blight_on_lettuce,images-2-_jpg.rf.6b1c298a78bd454334e2c843211dc61d.jpg,test,264,158,307,183
dataset\_work\crops\lettuce_disease_v1\anomala\damping-off-of-lettuce-kwiek-dis030695-GGJ868_jpg.rf.5686cc8ef0e5c3d8179d3ea0cd2fdf34__ann6.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Wilt_and_leaf_blight_on_lettuce,damping-off-of-lettuce-kwiek-dis030695-GGJ868_jpg.rf.5686cc8ef0e5c3d8179d3ea0cd2fdf34.jpg,test,300,382,348,443
dataset\_work\crops\lettuce_disease_v1\anomala\images-19-_jpg.rf.058e7eb6f4c54e5cce6877a81b24f1c3__ann7.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Downy_mildew_on_lettuce,images-19-_jpg.rf.058e7eb6f4c54e5cce6877a81b24f1c3.jpg,test,386,309,423,358
dataset\_work\crops\lettuce_disease_v1\anomala\-2-_jpg.rf.08dfbc6590b62ae126b107c3f12bdfd5__ann8.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Wilt_and_leaf_blight_on_lettuce,-2-_jpg.rf.08dfbc6590b62ae126b107c3f12bdfd5.jpg,test,262,578,303,640
dataset\_work\crops\lettuce_disease_v1\anomala\images-12-_jpg.rf.5bb0b799d405c403bc96e786237d68aa__ann9.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Septoria_Blight_on_lettuce,images-12-_jpg.rf.5bb0b799d405c403bc96e786237d68aa.jpg,test,347,383,402,444
dataset\_work\crops\lettuce_disease_v1\saudavel\-_jpg.rf.0352d3437499fb0b279c4363cdf08eb5__ann10.jpg,saudavel,lettuce_disease_v1,Lettuce Disease.v1i.coco,healthy,-_jpg.rf.0352d3437499fb0b279c4363cdf08eb5.jpg,test,454,499,509,576
dataset\_work\crops\lettuce_disease_v1\saudavel\-1-_jpg.rf.024f3efda15e873f59e1776b990bea50__ann11.jpg,saudavel,lettuce_disease_v1,Lettuce Disease.v1i.coco,healthy,-1-_jpg.rf.024f3efda15e873f59e1776b990bea50.jpg,test,404,436,469,505
dataset\_work\crops\lettuce_disease_v1\anomala\s16_jpg.rf.51fe3ae06c25a0c87c780f2d8068cdf8__ann12.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Septoria_Blight_on_lettuce,s16_jpg.rf.51fe3ae06c25a0c87c780f2d8068cdf8.jpg,test,524,576,575,640
dataset\_work\crops\lettuce_disease_v1\anomala\images-13-_jpg.rf.33f87dcde10e543049807eb8b66adf3e__ann13.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Septoria_Blight_on_lettuce,images-13-_jpg.rf.33f87dcde10e543049807eb8b66adf3e.jpg,test,570,264,623,307
dataset\_work\crops\lettuce_disease_v1\anomala\4073-1_jpg.rf.52c472f46bcc13e03566ab60f9ee2f1b__ann14.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Bacterial,4073-1_jpg.rf.52c472f46bcc13e03566ab60f9ee2f1b.jpg,test,320,268,371,311
dataset\_work\crops\lettuce_disease_v1\anomala\Washington-State-University-Phoma-leaf-spot-lesion-with-tiny-black-pycnidia-present-_jpg.rf.5155772aba862d66215911dc43218c2d__ann15.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Bacterial,Washington-State-University-Phoma-leaf-spot-lesion-with-tiny-black-pycnidia-present-_jpg.rf.5155772aba862d66215911dc43218c2d.jpg,test,234,384,271,445
dataset\_work\crops\lettuce_disease_v1\anomala\30_jpg.rf.41597a986c9f8d3f56f1cba7ec74f08f__ann16.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Downy_mildew_on_lettuce,30_jpg.rf.41597a986c9f8d3f56f1cba7ec74f08f.jpg,test,262,449,303,489
dataset\_work\crops\lettuce_disease_v1\anomala\istockphoto-1400010743-1024x1024_jpg.rf.4a4430ae8fd42ba7e70597b85b450532__ann17.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Bacterial,istockphoto-1400010743-1024x1024_jpg.rf.4a4430ae8fd42ba7e70597b85b450532.jpg,test,257,211,298,244
dataset\_work\crops\lettuce_disease_v1\saudavel\1644220781_Lettuce_big_1_jpg.rf.481a8227d560f1fe8f8576a50acc9c16__ann18.jpg,saudavel,lettuce_disease_v1,Lettuce Disease.v1i.coco,healthy,1644220781_Lettuce_big_1_jpg.rf.481a8227d560f1fe8f8576a50acc9c16.jpg,test,460,178,533,207
