caminho,classe,split,origem_dataset,resolucao,phash_orbit
dataset\_work\final\lettuce_downy_v1\test\anomala\27_jpg.rf.00966c8d59d746ec27a88b3e13ef15c6__ann0.jpg,anomala,test,lettuce_downy_v1,573x333,8747229533800019596|7050835641391682254|8414071850957093723|15122081343307522341|14885189166984452449|10139560488546493561|2675534607837617361|6574105155351463028
dataset\_work\final\lettuce_downy_v1\train\anomala\27_jpg.rf.00966c8d59d746ec27a88b3e13ef15c6__ann1.jpg,anomala,train,lettuce_downy_v1,580x327,11273786221839038929|14326489814003180148|3654051921650803648|3698243114634590700|8386522405034185158|15112224867053237404|17021870207130161715|13863158123038815538
dataset\_work\final\lettuce_downy_v1\val\anomala\images-10-_jpg.rf.15c48cd249e9634b9bbc0cd934767b71__ann2.jpg,anomala,val,lettuce_downy_v1,357x298,16845087330983491204|7519986951954535386|5329510006740210583|7894919306112807958|15750163538361736296|9527000719786624489|1599968240575156333|10940267389806835273
dataset\_work\final\lettuce_downy_v1\train\anomala\images-7-_jpg.rf.005988a6563e3880c42c6dad1e14038c__ann3.jpg,anomala,train,lettuce_downy_v1,280x243,1497679056575638894|15558868724422429321|14382023757143676977|2023967712176039795|9892757613525134551|7975236923399850004|8351675000319841820|3537796771423360967
dataset\_work\final\lettuce_downy_v1\train\anomala\23_jpg.rf.407eb09075b20e76ccd3697d758be6e7__ann7.jpg,anomala,train,lettuce_downy_v1,345x447,14817286509428288298|5510776700459953067|4792846921202475473|13636554942140873588|12334068772669651532|3038708403985949133|8393416020345634493|15069353976864211778
dataset\_work\final\lettuce_downy_v1\train\anomala\images-11-_jpg.rf.35e80e61e1d88eb87d0a8d285d76ab0d__ann8.jpg,anomala,train,lettuce_downy_v1,507x592,13093835907647451667|5949988179717567031|1430628105581186381|4009547866860440909|4013506190852657746|1419359862598842037|5570148560299009079|5570349823067740691
dataset\_work\final\lettuce_downy_v1\test\anomala\images-37-_jpg.rf.54d9c6be26cf15982978e4c318c3f206__ann9.jpg,anomala,test,lettuce_downy_v1,594x640,11553336316220042466|17462059580470643128|12752938723150353254|17447136491459458457|13315359198506276338|16315673772796564896|11039785282830213362|7373434253583514544
dataset\_work\final\lettuce_downy_v1\val\anomala\23_jpg.rf.56c4c5bc33b3d681cc4e9a301132667b__ann10.jpg,anomala,val,lettuce_downy_v1,308x424,6011013823666533542|3830708832886510490|4042814612493007154|16404239466330939795|11156302716964776245|11976368365710699347|10619797545021384675|3637051863892105784
dataset\_work\final\lettuce_downy_v1\train\anomala\images-2-_jpg.rf.3370d8680fef7c752e65331bc85ef081__ann11.jpg,anomala,train,lettuce_downy_v1,419x531,16354651299371291846|13263340402278782876|3058916925206378214|12335871489091146648|11301758924549066936|14273148313093339106|10994172719663231403|16588546971840836394
dataset\_work\final\lettuce_downy_v1\train\anomala\-6-_jpg.rf.026087c080498c5e152f2722537a15a1__ann12.jpg,anomala,train,lettuce_downy_v1,554x485,10962859047671716557|16580873816962213196|10208718857842665916|5641350698914180034|5522991105065884646|14797181698917671832|14009341980859583054|13558521593946680461
dataset\_work\final\lettuce_downy_v1\train\anomala\27_jpg.rf.b9c8b7f1998abb13aabf0060181067ff__ann18.jpg,anomala,train,lettuce_downy_v1,347x590,7261150380676362836|15119829475856528213|7319142883995013720|6463919770921383077|6175535480355738833|6067167614328226916|11940279334175290457|6400417356103914085
dataset\_work\final\lettuce_downy_v1\train\anomala\27_jpg.rf.b9c8b7f1998abb13aabf0060181067ff__ann19.jpg,anomala,train,lettuce_downy_v1,343x598,1418709537871127320|4031528213118007719|8278436015050904005|12806100382835569756|12049906114253156919|1757323994748727315|6662205747937982641|14254430295819936370
dataset\_work\final\lettuce_downy_v1\train\anomala\07_jpg.rf.1368b3824b9f1d002d63e09a80c5afc1__ann26.jpg,anomala,train,lettuce_downy_v1,254x313,8528351414436641072|10494983938264753139|9621138566940248092|6800043248362319047|17538058716009244049|3474863706650335862|14406150318827724382|2073987040422561157
dataset\_work\final\lettuce_downy_v1\test\anomala\images-23-_jpg.rf.ca54d1f865c4bebb74b13fd8102d0667__ann29.jpg,anomala,test,lettuce_downy_v1,419x240,12236177837088477732|7641687626980505307|12437307619588412139|14602486081161311784|15832030425896324202|2635215654107664297|2933589629807601354|16974862369315461804
