caminho,classe,split,origem_dataset,resolucao,phash_orbit
dataset\_work\final\spinach\train\saudavel\healthy__healthy (1).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,16467290150763333604|15573014696576818904|10094602412521064680|14850377231154794216|15572997189955624664|16467281234881513444|16775494351238404046|16755675551070099340
dataset\_work\final\spinach\test\saudavel\healthy__healthy (10).jpg,saudavel,test,spinach_n56pn9fncw,4640x3472,16198482570341960864|17927904564927188210|17045163814641601708|14469668179142496202|17495523816329628920|11586800941404441824|14614057214065168072|12397299431397297388
dataset\_work\final\spinach\val\saudavel\healthy__healthy (100).jpg,saudavel,val,spinach_n56pn9fncw,1440x1080,16348293780619890636|13328557124766535372|16487264293763933944|15603880198647093472|14703749576784672952|14740162376046141666|16183716212069272792|17935242036823707364
dataset\_work\final\spinach\train\saudavel\healthy__healthy (101).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,14035642146910080744|13325172918522973928|11873322085928914664|15752533896112540904|16757392196923485368|16757352331038607554|16756792735230237914|16775512321891223204
dataset\_work\final\spinach\train\saudavel\healthy__healthy (102).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,16757355535050444448|16757496428257251050|17045727868620606688|14451512491637198576|16901488693504020200|11569355093477592808|17351849514487942856|16180337467891093228
dataset\_work\final\spinach\train\saudavel\healthy__healthy (103).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,17349708071853065904|17337783750718561506|14739757264324708592|14739783755481671920|16328959568198409456|12720003265426343664|17359281011308596940|17350273863189237452
dataset\_work\final\spinach\test\saudavel\healthy__healthy (104).jpg,saudavel,test,spinach_n56pn9fncw,4640x3472,10424934301698589840|17783180277583764214|16774930611508146424|16774956669478953152|17787560731916159734|10413597237309254800|13898351022144670952|17938053397827996904
dataset\_work\final\spinach\train\saudavel\healthy__healthy (105).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,9837131535488863920|17211102148715515378|17043472170326345968|14456051477691297008|17477667816204065518|12704262147774055560|17360404862498938568|17350274260481050348
dataset\_work\final\spinach\val\saudavel\healthy__healthy (106).jpg,saudavel,val,spinach_n56pn9fncw,4640x3472,14737492278718470084|14744247911398708940|14739757229352916708|14739783670180583120|14706002550274367180|14165812151634593484|15030261550776291020|16471373591215312588
dataset\_work\final\spinach\val\saudavel\healthy__healthy (107).jpg,saudavel,val,spinach_n56pn9fncw,4640x3472,9801533910330574540|17194513765047181260|14165557116746008524|15894939606087049164|14744560034254921710|14701494259703023240|14708504952841148124|14701762617784637124
dataset\_work\final\spinach\train\saudavel\healthy__healthy (108).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,10125934233405463494|14888388469916640924|14737793613790938816|14708311438257004284|11251794430139473614|14311059907091859084|18203021083541184204|13872783549958555596
dataset\_work\final\spinach\train\saudavel\healthy__healthy (109).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,11568770060924702368|18072415577163861474|16757496341156776160|16757496375919176952|16324728646396727034|11551336743605603488|17936867800695344872|16197352341410057960
dataset\_work\final\spinach\train\saudavel\healthy__healthy (11).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,11587206730307831776|18053839620088471288|5664282804601147116|10170876401732193480|17878797026689256698|16178903670124433056|14451107974438332045|17063745617212447566
dataset\_work\final\spinach\test\saudavel\healthy__healthy (110).jpg,saudavel,test,spinach_n56pn9fncw,4640x3472,12740269489519824612|17477368883243814600|14739774976837010672|14739774718996307184|14451548136425295090|16469263140895837872|17355762607519403724|17349149080444702412
dataset\_work\final\spinach\test\saudavel\healthy__healthy (111).jpg,saudavel,test,spinach_n56pn9fncw,4640x3472,12722267701033780912|17477404140629827058|14737523090989701360|14744278490833413360|17482180414863215858|12701993254226464432|17358155248571752140|17354777445772003020
dataset\_work\final\spinach\val\saudavel\healthy__healthy (112).jpg,saudavel,val,spinach_n56pn9fncw,4640x3472,10958989800319948428|16615779498716272590|14737514321566438356|14744270004676671444|14886423715647297510|10094311694875956888|15291747570576760524|15281614418768266956
dataset\_work\final\spinach\train\saudavel\healthy__healthy (113).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,11855166527370399464|15608983020520836840|14737514260662291688|14742017963370467048|16757401028176879320|16757334773101463204|16775379932538443468|16756776195393816268
dataset\_work\final\spinach\train\saudavel\healthy__healthy (115).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,10432169713564599984|17770146774273924562|14737628645716585712|14744277391372110064|15176328407156694262|12702010348262377104|17350273962108690124|17360407357629368012
dataset\_work\final\spinach\train\saudavel\healthy__healthy (116).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,10432174663312297648|17770111586393820658|15890430338167914736|14167932124163143920|17477641630308539638|12704249454300481168|17363794072620998340|17348031319298705116
dataset\_work\final\spinach\train\saudavel\healthy__healthy (118).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,16196799705249974244|17914218562629017288|14881902049919231224|10096572797822621920|14420022975406710008|16467292746988111584|16201724086944734860|17934625724243871694
dataset\_work\final\spinach\train\saudavel\healthy__healthy (119).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,12143405724983854816|16906000815144541944|14737523091056329952|14744278490289200888|17914799691786002154|16178648506285393576|17932803868273647308|16178204363719935692
dataset\_work\final\spinach\train\saudavel\healthy__healthy (12).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,9261238758392041380|18347135289277746904|5662066603090437352|10175375616246601960|15568503674821844734|11857706405211899520|16778314507514689165|16781765279082582862
dataset\_work\final\spinach\train\saudavel\healthy__healthy (120).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,11585666202749605580|18080982869311461068|16485016993427343076|15608401288406408408|14742035692801420538|14742009072191457440|15608410208566418648|16485007769515837156
dataset\_work\final\spinach\test\saudavel\healthy__healthy (121).jpg,saudavel,test,spinach_n56pn9fncw,1440x1080,11568628290824933064|17928442243888942828|17063737817282350824|14450984932350004968|17045591718300208888|14451531294733405344|16757399687609617608|16757475450436177644
dataset\_work\final\spinach\train\saudavel\healthy__healthy (122).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,16181032221289451232|17910294787763179240|14161027119954185968|15897204462199934192|16757374656472059640|16180900271345602272|17333279897773645532|17351958297822070468
dataset\_work\final\spinach\train\saudavel\healthy__healthy (123).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,17349140249556256460|17355780304260013772|17061490426286425836|14419424688543276232|14744261104798457072|14737531861312455920|14455462277376515272|17061473381709760236
dataset\_work\final\spinach\train\saudavel\healthy__healthy (124).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,16196795371946086342|17914253026926661276|14309934005440988920|11247290830728633568|11245047185902312696|14307805812403455712|16184835880201426588|17926181535474096070
dataset\_work\final\spinach\train\saudavel\healthy__healthy (125).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,15043297731988277156|17642884896121035994|14304438630855657712|11258495883456473328|15716549251894794484|11873627844683220176|17359298616916065948|17350265479453967302
dataset\_work\final\spinach\train\saudavel\healthy__healthy (126).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,12739715333512463270|17495374485675982490|14882006093353895152|10096646443617934576|11114363224652172530|11998604332138220720|17355903428479295116|17349148429527386062
dataset\_work\final\spinach\train\saudavel\healthy__healthy (127).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,12739706513796089780|17351276683343043794|16485017090030748912|15608401201154939120|15140027063842295024|13026533904554118320|17354794965060721880|17349139788087412452
dataset\_work\final\spinach\train\saudavel\healthy__healthy (128).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,13899452085781874336|17643023199163030770|17063742697980741872|14450949726558545136|17481872550137747700|11549084943594742976|17358153062616042696|17350344628957073132
dataset\_work\final\spinach\train\saudavel\healthy__healthy (129).jpg,saudavel,train,spinach_n56pn9fncw,1440x1080,16199047180232919012|17909696785894743768|14737804402824831216|14708249916607492336|15572944271572372728|16467292798812671712|17361392074237353676|17357030361639651276
dataset\_work\final\spinach\train\saudavel\healthy__healthy (13).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,17043454429996877796|14455497616439254744|10274728573106900220|1015046264851975360|15572988325726690504|16467276821197719276|13892503342508873230|18216100667165742990
dataset\_work\final\spinach\train\saudavel\healthy__healthy (130).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,17351959888881356750|17333280014193790604|14737890302203784432|14708332364142921968|10092116335982972144|14884284161220923120|17350151010890161868|17360399274399074252
dataset\_work\final\spinach\train\saudavel\healthy__healthy (131).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,14449402502414828486|16761859461726289564|14881919797052286688|10096563846641326816|11258496932510080744|14304297788108146376|16184278015083224716|16187668959979603918
dataset\_work\final\spinach\train\saudavel\healthy__healthy (132).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,11567094396513636016|18058931441303457266|14451543415274264800|17045758637639656696|17477632525533093626|12704262620456388256|17934615932164083436|16201855975524830920
dataset\_work\final\spinach\train\saudavel\healthy__healthy (133).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,12721691494865637032|17351839671431630568|14737628609812810984|14744281857551944936|16757390943121755888|12109778200868392112|16774956551842995916|16774930214706972364
dataset\_work\final\spinach\train\saudavel\healthy__healthy (134).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,10413614836227479244|17788680172606035660|14757895230821222128|14739215459276462320|14742031278624136950|14741991413400437904|17336640121859378380|17349703673572478668
dataset\_work\final\spinach\train\saudavel\healthy__healthy (135).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,12686243317421414092|17478213243296519884|14742026682396559072|14742026966562938088|14742031295686545394|14741991480240836272|16761331713794348748|16196794983598233292
dataset\_work\final\spinach\test\saudavel\healthy__healthy (136).jpg,saudavel,test,spinach_n56pn9fncw,4640x3472,9277571925768867744|17509025849844043738|16485008104086758624|15608418673820096760|15712802223246212338|11533603220656930944|17931255905873992920|16205225258658285284
dataset\_work\final\spinach\val\saudavel\healthy__healthy (137).jpg,saudavel,val,spinach_n56pn9fncw,4640x3472,15027428022906593164|17640189809125689294|16487567430632836040|15567860220354572008|14845948423819742964|10096816416757288144|16730357405952904408|14450691285408534500
dataset\_work\final\spinach\train\saudavel\healthy__healthy (139).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,15313966259791141790|15320748177467582342|14880774054831821782|10104524415554762388|9666742864997752532|11392747138214758100|10679837354727520908|15461729713346675662
dataset\_work\final\spinach\train\saudavel\healthy__healthy (14).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,11566377607635732382|18072416557579575174|14882027497894807532|10096602433569824456|9664561501840592634|11387115405195052192|14420040380983942796|17043764166463424462
dataset\_work\final\spinach\test\saudavel\healthy__healthy (140).jpg,saudavel,test,spinach_n56pn9fncw,4640x3472,16199031149529241540|17333332962297190108|14881908733189277424|10096625454726159600|15858945908266667248|14165840755520032480|17337766043194171020|17349703208098432974
dataset\_work\final\spinach\train\saudavel\healthy__healthy (141).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,17351392523633018532|17351276958490467546|14161167891399888112|15897203293622815984|15752534275143945456|11873322128843984112|17351399758936579804|17351399642978551492
dataset\_work\final\spinach\train\saudavel\healthy__healthy (142).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,13898332241916561040|17651907592150884070|17061486465811015920|14455488443453335792|16617768493490436340|10414235048643125440|17359349743317589192|17359349641938978540
dataset\_work\final\spinach\train\saudavel\healthy__healthy (143).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,14161027162594051788|14744283027319791308|14737523013269298912|14744278748254668536|14744283215560154828|14737487795108153028|17908017647374802636|16185390651158005452
dataset\_work\final\spinach\train\saudavel\healthy__healthy (144).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,17349145128510654188|17355797874636922568|14757895256423255280|14450984876026809584|14456051533385489648|17043471595068966128|17351276579324857544|17351392480583732940
dataset\_work\final\spinach\train\saudavel\healthy__healthy (145).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,12738017670103009220|17477377610500218588|14161449409494632184|15861174669216750816|15861180287017716978|14161326043000456880|16184835725176741596|17926181484143806404
dataset\_work\final\spinach\train\saudavel\healthy__healthy (146).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,16199029568921374432|17909758496403263216|14739867249779590368|14739751801462902008|17333834241602915576|16181041045306592992|17927878193618783948|16196217645543427788
dataset\_work\final\spinach\train\saudavel\healthy__healthy (147).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,14885403464259831520|10103322559097773784|10094312047766635712|14886423396915601144|15608973257573021324|16178781033583580110|17932831467901261774|13872234000807040652
dataset\_work\final\spinach\test\saudavel\healthy__healthy (148).jpg,saudavel,test,spinach_n56pn9fncw,4640x3472,16196777219418965672|17914244507602689226|14742017877410760912|14742017825671407860|14599586180412382456|12125549595891844832|17647528979108435660|15044422057950156492
dataset\_work\final\spinach\train\saudavel\healthy__healthy (149).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,16485025687818456800|14455488682081553656|14742008926631806200|14742017980827097312|17909731798736608456|16199055933242066660|16201873636765439692|17925599901776058060
dataset\_work\final\spinach\train\saudavel\healthy__healthy (15).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,14451509355472424588|14739775201578029006|10125837064064404296|14888393817147256525|14884163119876378316|10092051099102187208|14784806764573597390|5191255266887435916
dataset\_work\final\spinach\test\saudavel\healthy__healthy (150).jpg,saudavel,test,spinach_n56pn9fncw,4640x3472,17349720800092198604|17337757247298770636|14739757290060237552|14739783962708585712|14742025849735126256|14742167350830155504|17342304827458948812|17350824710025481932
dataset\_work\final\spinach\train\saudavel\healthy__healthy (16).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,16180454908703641548|17928441162167619276|16628295916668290804|10969702644265164496|14703828918404566776|14740141946761022688|15032477188172954776|17619796039975551974
dataset\_work\final\spinach\train\saudavel\healthy__healthy (17).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,17336368347820271502|17300045165688986510|11429897480313609160|9657436357930460876|10239808051051435760|10243198806366066672|14710554373123671686|14455210363989761950
dataset\_work\final\spinach\train\saudavel\healthy__healthy (18).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,10958958911516905356|16615801539888877518|5087720836923625444|11242694803270078168|14848217731189151718|10092304140857972376|15568393551943501468|16469434250441497414
dataset\_work\final\spinach\val\saudavel\healthy__healthy (19).jpg,saudavel,val,spinach_n56pn9fncw,4640x3472,9808315802238258840|17187771912436944870|14737531887446211467|14744260899315589934|16613565004955486190|10956769045602573960|3324610227506224844|10032675512599152332
dataset\_work\final\spinach\val\saudavel\healthy__healthy (2).jpg,saudavel,val,spinach_n56pn9fncw,4640x3472,11585108802000881376|18058368216425471736|16466914144127216888|15608952026834061536|17914824723057253626|16178762932410369696|16197352375896481496|17936867731969902308
dataset\_work\final\spinach\val\saudavel\healthy__healthy (20).jpg,saudavel,val,spinach_n56pn9fncw,4640x3472,9279840854440103090|18080974038855830962|16703453680217541617|1732924909791620192|12883970992888016122|12847660488965671040|6930070220586748952|17423176382461431527
dataset\_work\final\spinach\test\saudavel\healthy__healthy (21).jpg,saudavel,test,spinach_n56pn9fncw,4640x3472,10432038315234226942|17770130141067653248|13158000908016857280|10567352137007166204|9273136543922363638|18370970742722119312|18226849198979327634|13884769845492095670
dataset\_work\final\spinach\val\saudavel\healthy__healthy (22).jpg,saudavel,val,spinach_n56pn9fncw,1440x1080,11583432613260136176|18085477634660077296|14830014492033664752|5515832186249321712|17333844204321176826|17333804185981730976|17337748291201043532|17349712478628204237
dataset\_work\final\spinach\train\saudavel\healthy__healthy (23).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,9286570397909622477|18363601436829255180|17136086182451996352|5191566348364189932|902425642587314430|14816296409439330432|17046158082123893832|13899946359309193197
dataset\_work\final\spinach\test\saudavel\healthy__healthy (24).jpg,saudavel,test,spinach_n56pn9fncw,1440x1080,13842981355772615924|18214697861731043024|17640493221111602904|10379677869108332516|15043864554223945724|17626013787518016704|16467182441531313296|15572896703896866804
dataset\_work\final\spinach\test\saudavel\healthy__healthy (25).jpg,saudavel,test,spinach_n56pn9fncw,4640x3472,16180878349789531872|17910287383237988088|14737628678466211564|14744281819433569992|17910269773940231928|16180873883292241632|14451653435268177612|17045726717577234124
dataset\_work\final\spinach\train\saudavel\healthy__healthy (26).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,16180315442653630152|17928301437347663596|17061486498170507244|14455488372324830920|17045626816496127736|14415497979543129312|14415518895684623560|17046004809730344684
dataset\_work\final\spinach\train\saudavel\healthy__healthy (27).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,16196777769014756294|17914262097914969756|14885304025095589612|10103372058076286152|11258567885758307576|14304295621497177824|14450993866421253772|17063720233714947022
dataset\_work\final\spinach\train\saudavel\healthy__healthy (28).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,16178780343972892384|17914816288412569336|14742035486710352088|14742009098836307172|17910312551883120376|16181032160899335904|16495759900394362572|15620895987281401548
dataset\_work\final\spinach\val\saudavel\healthy__healthy (29).jpg,saudavel,val,spinach_n56pn9fncw,1440x1080,16180891406560332748|17910313788162387916|14737804574650238956|14708249832050073288|14713034958532218616|14702901573786504928|14419975612337954508|17043634372612425676
dataset\_work\final\spinach\val\saudavel\healthy__healthy (3).jpg,saudavel,val,spinach_n56pn9fncw,4640x3472,12737453578131787488|17500036173125815544|17928433860925648120|16180331914472638688|17909872505361718514|16199045556700890288|16197211651208285408|17936868146171858680
dataset\_work\final\spinach\train\saudavel\healthy__healthy (30).jpg,saudavel,train,spinach_n56pn9fncw,1440x1080,16755118157796445896|16761900229486939884|14742000267600826088|14737505568252989128|17045591650513690344|14451531329329923816|14451505087247517388|16757347812590196428
dataset\_work\final\spinach\train\saudavel\healthy__healthy (31).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,16757493549461903084|16180930324433639112|14886432201698692848|10094294179896854752|14453799820276960992|17047975229157248744|16179193906601334412|17351858345681328078
dataset\_work\final\spinach\train\saudavel\healthy__healthy (32).jpg,saudavel,train,spinach_n56pn9fncw,1440x1080,12704253472176066280|17477404054747778280|14744568830622682352|14701476667416562928|16756828199932300530|16775507364191358640|17351259008427820748|17351400948911284172
dataset\_work\final\spinach\val\saudavel\healthy__healthy (33).jpg,saudavel,val,spinach_n56pn9fncw,4640x3472,17351400227362541256|12739713809094446828|17710295255771238128|4619609314806369520|17045621164510989488|14451650138366463216|17333262266780752960|17351955620187326453
dataset\_work\final\spinach\val\saudavel\healthy__healthy (35).jpg,saudavel,val,spinach_n56pn9fncw,1440x1080,17364919375351715532|17348030877857978316|2613806394060295148|15824848058898066632|14742317236699447536|14705980292956880112|14423945794944474587|17062902162366613028
dataset\_work\final\spinach\train\saudavel\healthy__healthy (36).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,17934120491990225287|16192741349261014558|14382694717639227128|2046576906112635104|2195078063785294048|9768625920008774392|16181534989251667484|17939743412179212743
dataset\_work\final\spinach\val\saudavel\healthy__healthy (37).jpg,saudavel,val,spinach_n56pn9fncw,1440x1080,17357087991449883078|17345680444458694300|14376498900893164776|2035159560185895144|11274311414799186160|14308376927059304688|16778193770080779804|16781687188002014151
dataset\_work\final\spinach\train\saudavel\healthy__healthy (38).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,17333430522309971608|17349574832029929446|14757894842658294735|14739215240718921228|16613553914911049456|10956751281493347568|877660362750987468|14955107671937896140
dataset\_work\final\spinach\train\saudavel\healthy__healthy (39).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,16184870754408801036|17926177217593424783|16630555069534277607|10965251765635321368|10320943933711173368|874583658767752416|1733441015540755608|16685600403615239142
dataset\_work\final\spinach\train\saudavel\healthy__healthy (4).jpg,saudavel,train,spinach_n56pn9fncw,720x960,17357102332529907936|17363897498054092536|13889352934883845880|17941452613868099808|17935249957841074416|16183839246754308336|16183716236676889848|17935242210272657600
dataset\_work\final\spinach\train\saudavel\healthy__healthy (41).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,17355754947277459160|17349024836201025252|16631392770264106726|10992220327577558680|16433126383726544112|15604466354391342320|10997251590111792280|16611130918648925926
dataset\_work\final\spinach\val\saudavel\healthy__healthy (42).jpg,saudavel,val,spinach_n56pn9fncw,1440x1080,17361603695104607972|17361530729006406872|16629484000969156339|10960684067029030960|15608478446744563952|16485093496899694832|3501702874208672920|17574961729162168294
dataset\_work\final\spinach\val\saudavel\healthy__healthy (43).jpg,saudavel,val,spinach_n56pn9fncw,4640x3472,17363882106195910604|17357040211110266572|16631736033685791980|10956180699691407560|14701550489206055152|14744663262128175344|14472344118529625240|17070023358748020710
dataset\_work\final\spinach\train\saudavel\healthy__healthy (44).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,17361641333677333446|17361641048240432796|18150570601346495212|2321636583953445056|11251740258233020656|14311194538300993776|13884624229180913696|17073963999798223867
dataset\_work\final\spinach\train\saudavel\healthy__healthy (46).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,17358155628850302708|17354777528035085520|16631682972815123692|10956173973142821064|15027516152103229680|17640196999507535088|14472473697189235864|17069925286354341862
dataset\_work\final\spinach\train\saudavel\healthy__healthy (47).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,17361595175496172518|17361548312382422168|16629428999618029768|10960748251011934380|10969737789337039088|16628298702737830128|12459221797174647960|14477049234892376038
dataset\_work\final\spinach\train\saudavel\healthy__healthy (49).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,17351408473534076616|17351408628983305964|4102351863140080|17262075783127403760|17047868841173372144|14453937077455604976|17333280070578900975|17351959491529346560
dataset\_work\final\spinach\test\saudavel\healthy__healthy (5).jpg,saudavel,test,spinach_n56pn9fncw,4640x3472,13893865189057294560|18226288266670829816|13902837229675409632|18226292871951085816|17938057822068076796|16208715431751241920|17938084486030618876|16208702229120348352
dataset\_work\final\spinach\train\saudavel\healthy__healthy (50).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,17346781934485146848|12736913384392085240|2597475390493003464|15839043372084596460|17928438085865685680|16180349485537737968|17045591528448643035|14451531182931053604
dataset\_work\final\spinach\train\saudavel\healthy__healthy (51).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,17350289876984435936|17360468445200832248|3471165474289209064|17567292165500341480|17930679744542993648|16182760175325464816|16756810258836343795|16775516754625309744
dataset\_work\final\spinach\train\saudavel\healthy__healthy (52).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,17336620072348039376|17358790132657021940|17324378646838215624|17350555264614088424|17646110096072107760|15003801781757843696|16734842965432650224|14448435183613799664
dataset\_work\final\spinach\train\saudavel\healthy__healthy (53).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,15176194124389587168|13026321741763766008|2408043127213768|18431982611006197484|17935240903325828788|16183857000167021778|17045617867335060479|14451544583220103168
dataset\_work\final\spinach\test\saudavel\healthy__healthy (54).jpg,saudavel,test,spinach_n56pn9fncw,4640x3472,13274121347134465676|16290394442621883342|14881904396243776502|10096537320553001872|14885374730081866722|10098866077659772856|10390658683210768012|17740645811813189582
dataset\_work\final\spinach\train\saudavel\healthy__healthy (55).jpg,saudavel,train,spinach_n56pn9fncw,1440x1080,14744278380743988984|14737523418523145952|14742035693732828816|14742009072420624374|16183142542298285772|17912706435959201484|17768731418770511564|10382507256862971596
dataset\_work\final\spinach\val\saudavel\healthy__healthy (56).jpg,saudavel,val,spinach_n56pn9fncw,4640x3472,17909737351374020312|16198932340956956388|7352015526381948664|11033579580003422176|16466940841503215328|15608967446028586232|16181182133264850841|17874267028858799974
dataset\_work\final\spinach\test\saudavel\healthy__healthy (57).jpg,saudavel,test,spinach_n56pn9fncw,4640x3472,17361548766774467784|16208673340747138796|10999698817066716904|16616061801128168680|17061486637609316576|14455488494989799664|16756819055022479590|16775499128896988824
dataset\_work\final\spinach\train\saudavel\healthy__healthy (58).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,16180472707351285472|17928432309027376864|17063742112376265952|14450949696166807288|16180930121888616184|16181032221867936992|17926032044942855368|16184827838415228652
dataset\_work\final\spinach\train\saudavel\healthy__healthy (59).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,9279823262086831816|18080982834076944108|16485030146127122056|15608374830653410538|17043335296496626938|14456017259032660096|16900951904171236568|9821932507201259236
dataset\_work\final\spinach\train\saudavel\healthy__healthy (60).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,14703736232228654812|14740188342937161412|16757356875674759140|16757356746760981464|14163292474955239372|15892647905491291852|15567588528271888104|16442373191153192680
dataset\_work\final\spinach\val\saudavel\healthy__healthy (61).jpg,saudavel,val,spinach_n56pn9fncw,4640x3472,14737628567098724300|14744282047467359948|14307420676100689608|11281001727111696108|14703819933997244108|14740159762655315660|17045578335476485788|14451504795492257478
dataset\_work\final\spinach\train\saudavel\healthy__healthy (62).jpg,saudavel,train,spinach_n56pn9fncw,4640x3472,10132574854412048268|14881647282388539342|14737813285383243730|14708232085283086260|14850458569777317582|10094617599559310988|12979177782308445900|15134150049153124300
dataset\_work\final\spinach\val\saudavel\healthy__healthy (63).jpg,saudavel,val,spinach_n56pn9fncw,4640x3472,14449398293824376780|17050125108622788300|14885297728732761832|10103319067037241064|14701559441371078380|14740150915425339080|16757383400791422604|16757343536012301262
