caminho,classe,origem_dataset,categoria_original,largura,altura,formato_original
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (1).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (10).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (100).jpg,saudavel,spinach_n56pn9fncw,healthy,1440,1080,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (101).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (102).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (103).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (104).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (105).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (106).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (107).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (108).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (109).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (11).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (110).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (111).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (112).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (113).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (114).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (115).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (116).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (117).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (118).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (119).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (12).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (120).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (121).jpg,saudavel,spinach_n56pn9fncw,healthy,1440,1080,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (122).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (123).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (124).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (125).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (126).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (127).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (128).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (129).jpg,saudavel,spinach_n56pn9fncw,healthy,1440,1080,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (13).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (130).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (131).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (132).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (133).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (134).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (135).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (136).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (137).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (138).jpg,saudavel,spinach_n56pn9fncw,healthy,1440,1080,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (139).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (14).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (140).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (141).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (142).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (143).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (144).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (145).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (146).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (147).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (148).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (149).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (15).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (150).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (16).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (17).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (18).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (19).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (2).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (20).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (21).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (22).jpg,saudavel,spinach_n56pn9fncw,healthy,1440,1080,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (23).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (24).jpg,saudavel,spinach_n56pn9fncw,healthy,1440,1080,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (25).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (26).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (27).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (28).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (29).jpg,saudavel,spinach_n56pn9fncw,healthy,1440,1080,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (3).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (30).jpg,saudavel,spinach_n56pn9fncw,healthy,1440,1080,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (31).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (32).jpg,saudavel,spinach_n56pn9fncw,healthy,1440,1080,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (33).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (34).jpg,saudavel,spinach_n56pn9fncw,healthy,1440,1080,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (35).jpg,saudavel,spinach_n56pn9fncw,healthy,1440,1080,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (36).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (37).jpg,saudavel,spinach_n56pn9fncw,healthy,1440,1080,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (38).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (39).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (4).jpg,saudavel,spinach_n56pn9fncw,healthy,720,960,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (40).jpg,saudavel,spinach_n56pn9fncw,healthy,1440,1080,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (41).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (42).jpg,saudavel,spinach_n56pn9fncw,healthy,1440,1080,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (43).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (44).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (45).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (46).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
